iter	Passed	Remaining
399	50407	201631
400	50604	201785
401	50749	201734
402	50864	201565
403	50965	201338
404	51074	201144
405	51238	201167
406	51408	201214
407	51571	201229
408	51738	201262
409	51884	201209
410	52032	201165
411	52203	201211
412	52365	201221
413	52548	201310
414	52691	201242
415	52840	201200
416	52972	201092
417	53112	201013
418	53257	200953
419	53412	200933
420	53580	200957
421	53741	200958
422	54000	201322
423	54209	201494
424	54421	201678
425	54643	201898
426	54799	201872
427	54980	201938
428	55152	201969
429	55354	202109
430	55539	202183
431	55752	202359
432	55927	202397
433	56069	202314
434	56261	202411
435	56440	202459
436	56613	202487
437	56782	202499
438	56979	202608
439	57107	202471
440	57238	202346
441	57453	202516
442	57649	202619
443	57812	202605
444	57934	202446
445	58041	202234
446	58250	202376
447	58406	202336
448	58602	202434
449	58797	202523
450	58924	202380
451	59068	202296
452	59196	202156
453	59322	202008
454	59451	201872
455	59564	201682
456	59716	201624
457	59837	201462
458	59951	201274
459	60083	201148
460	60204	200986
461	60343	200883
462	60523	200916
463	60703	200948
464	60894	201016
465	61052	200974
466	61183	200844
467	61353	200839
468	61598	201081
469	61810	201213
470	62019	201331
471	62168	201257
472	62334	201237
473	62495	201199
474	62653	201150
475	62819	201128
476	62965	201041
477	63104	200930
478	63287	200961
479	63483	201031
480	63672	201077
481	63843	201065
482	64021	201076
483	64184	201041
484	64397	201158
485	64667	201455
486	64879	201565
487	65049	201545
488	65183	201416
489	65334	201338
490	65480	201241
491	65618	201123
492	65759	201011
493	65881	200845
494	65980	200608
495	66094	200415
496	66205	200214
497	66324	200037
498	66541	200157
499	66778	200334
500	66919	200222
501	67057	200103
502	67175	199924
503	67338	199877
504	67538	199940
505	67725	199964
506	67929	200037
507	68126	200089
508	68292	200045
509	68480	200071
510	68673	200106
511	68874	200167
512	69046	200141
513	69263	200243
514	69391	200089
515	69560	200055
516	69705	199949
517	69804	199709
518	69953	199617
519	70143	199639
520	70390	199823
521	70583	199850
522	70745	199790
523	70893	199691
524	71157	199917
525	71402	200088
526	71590	200100
527	71794	200154
528	71941	200047
529	72107	199995
530	72252	199884
531	72441	199895
532	72650	199959
533	72821	199918
534	72974	199828
535	73130	199744
536	73287	199664
537	73433	199552
538	73596	199488
539	73743	199379
540	73866	199208
541	74024	199127
542	74227	199169
543	74431	199212
544	74554	199039
545	74720	198981
546	74841	198802
547	74994	198706
548	75295	199004
549	75521	199101
550	75718	199121
551	75873	199030
552	76066	199037
553	76229	198967
554	76408	198937
555	76530	198758
556	76650	198575
557	76768	198388
558	76946	198355
559	77158	198408
560	77333	198365
561	77541	198407
562	77788	198546
563	77994	198581
564	78173	198545
565	78303	198388
566	78429	198216
567	78662	198318
568	78921	198483
569	79160	198596
570	79363	198616
571	79516	198512
572	79670	198411
573	79815	198287
574	79924	198074
575	80168	198195
576	80320	198086
577	80488	198017
578	80619	197859
579	80749	197697
580	80879	197535
581	81056	197489
582	81246	197471
583	81456	197505
584	81601	197378
585	81744	197245
586	81901	197149
587	82052	197038
588	82240	197013
589	82387	196892
590	82549	196805
591	82696	196684
592	82924	196753
593	83076	196642
594	83205	196477
595	83320	196279
596	83448	196109
597	83625	196059
598	83792	195982
599	83956	195899
600	84110	195791
601	84232	195608
602	84353	195426
603	84530	195371
604	84714	195333
605	84926	195359
606	85093	195280
607	85218	195105
608	85337	194916
609	85486	194797
610	85630	194665
611	85770	194525
612	85943	194459
613	86060	194267
614	86168	194055
615	86311	193920
616	86440	193754
617	86586	193628
618	86771	193588
619	86941	193514
620	87099	193413
621	87250	193297
622	87400	193179
623	87546	193050
624	87650	192831
625	87745	192592
626	87860	192397
627	87951	192149
628	88077	191978
629	88241	191890
630	88383	191753
631	88555	191683
632	88722	191601
633	88884	191508
634	89071	191468
635	89303	191524
636	89550	191613
637	89723	191540
638	89891	191458
639	90081	191423
640	90316	191482
641	90577	191594
642	90786	191597
643	91021	191654
644	91164	191516
645	91304	191372
646	91452	191245
647	91605	191127
648	91748	190988
649	91881	190829
650	92005	190653
651	92158	190536
652	92292	190380
653	92469	190311
654	92672	190296
655	92847	190223
656	93029	190165
657	93178	190039
658	93307	189870
659	93462	189757
660	93587	189581
661	93701	189385
662	93827	189211
663	93950	189033
664	94076	188860
665	94211	188705
666	94341	188540
667	94460	188355
668	94588	188186
669	94726	188038
670	94863	187890
671	94980	187698
672	95113	187542
673	95312	187514
674	95502	187466
675	95682	187401
676	95811	187235
677	95938	187065
678	96078	186921
679	96215	186771
680	96361	186639
681	96478	186450
682	96640	186347
683	96789	186220
684	96940	186096
